uniprot,ena,,
A0A0L7RC36,KOC68399.1,,
A0A0L7RCH6,KOC68692.1,,
A0A0M4E9W7,ALC37922.1,,
A0A0M4EP16,ALC38512.1,,
A0A0M9AB81,KOX79599.1,,
A0A0N4WQN2,VDO50448.1,,
A0A0N4WQU1,VDO50700.1,,
A0A0N4WTI0,VDO54579.1,,
A0A0P7UMJ3,KPP70774.1,,
A0A0P7UUU8,KPP78242.1,,
A0A0P7ZA87,KPP77781.1,,
A0A0Q3M7L7,KQK78653.1,,
A0A0Q3MIB3,KQK82205.1,,
A0A0Q3MMQ6,KQK83848.1,,
A0A0Q9XEV0,KRG03572.1,,
A0A0U2T5U8,ALR88634.1,,
A0A0U4I4Y4,ALY05312.1,,
A0A0V1ARU7,KRY27499.1,,
A0A0V1AW08,KRY28993.1,,
A0A0V1B4C1,KRY31883.1,,
A0A0V1B4L4,KRY31882.1,,
A0A0V1FZB7,KRY91398.1,,
A0A0V1FZB7,KRZ33701.1,,
A0A0V1I0U9,KRZ16558.1,,
A0A139WH33,KYB27272.1,,
A0A144JZP3,AMT82757.1,,
A0A146I849,BAU71483.1,,
A0A146I858,BAU71484.1,,
A0A146I896,BAU71487.1,,
A0A146I8B0,BAU71488.1,,
A0A146I8C5,BAU71489.1,,
A0A146ZLD2,JAR67166.1,,
A0A147AZC5,JAR83505.1,,
A0A151N095,KYO30160.1,,
A0A151NCH9,KYO34518.1,,
A0A151NN00,KYO38201.1,,
A0A151WYW4,KYQ52967.1,,
A0A151XEK8,KYQ58824.1,,
A0A154P1W3,KZC05847.1,,
A0A154PGI9,KZC10996.1,,
A0A161XG31,KZN05889.1,,
A0A164UUG6,KZM89377.1,,
A0A164VDG1,KZM90181.1,,
A0A182ESK3,VDM94994.1,,
A0A194PZ14,KPI98572.1,,
A0A194Q6P3,KPJ00675.1,,
A0A194R248,KPJ11863.1,,
A0A194R7L3,KPJ11861.1,,
A0A194RLC7,KPJ16786.1,,
A0A195CLD3,KYN01525.1,,
A0A195DNJ5,KYN14401.1,,
A0A195EYZ6,KYN33443.1,,
A0A195EZI9,KYN33294.1,,
A0A1A6G1Y8,OBS59820.1,,
A0A1A6H630,OBS74058.1,,
A0A1B0CWG2,MBC1177798.1,,
A0A1B0ESC3,MBC1177912.1,,
A0A1C3H858,SAP35454.1,,
A0A1C3H869,SAP35449.1,,
A0A1D2M3G2,ODM87451.1,,
A0A1J1HN77,CRK89512.1,,
A0A1J1I186,CRK94111.1,,
A0A1J1I5B9,CRK94110.1,,
A0A1J1ITC2,CRL03491.1,,
A0A1Q2SJR7,BAW79364.1,,
A0A1V4JD41,OPJ69687.1,,
A0A1V4JZK8,OPJ77571.1,,
A0A1V4KEI6,OPJ82852.1,,
A0A1V4KPR7,OPJ85777.1,,
A0A1V9Y306,OQR80124.1,,
A0A1W0W8H1,OQV11499.1,,
A0A1W0WDL6,OQV13257.1,,
A0A1W0WRR4,OQV17890.1,,
A0A1X9PQA1,ARO85859.1,,
A0A212BZQ3,OWJ99224.1,,
A0A212C008,OWJ99337.1,,
A0A212ES38,OWR44297.1,,
A0A212EWD0,OWR45808.1,,
A0A212EWE9,OWR45806.1,,
A0A218V9B5,OWK62637.1,,
A0A218VCG0,OWK63745.1,,
A0A226MXA1,OXB59965.1,,
A0A226N1P6,OXB61525.1,,
A0A226N5N6,OXB62903.1,,
A0A226N5U7,OXB62852.1,,
A0A226P739,OXB75297.1,,
A0A226PS47,OXB82217.1,,
A0A2F0BNB8,MBW04431.1,,
A0A2G9R6R7,PIO23495.1,,
A0A2I0LTL8,PKK20771.1,,
A0A2I0MPX5,PKK31680.1,,
A0A2I0UUH5,PKU49682.1,,
A0A2J7RGL2,PNF39985.1,,
A0A2J8RT03,PNJ11660.1,,
A0A2J8RT03,PNJ11661.1,,
A0A2L2YG96,LAA07173.1,,
A0A2L2YR30,LAA10477.1,,
